"from","to","type","count"
"alexburnsNYT","AsteadWesley","mention",1
"alexburnsNYT","AsteadWesley","retweet",1
"alexburnsNYT","HirokoTabuchi","mention",1
"alexburnsNYT","HirokoTabuchi","retweet",1
"alexburnsNYT","jdavidgoodman","mention",1
"alexburnsNYT","jessemckinley","mention",2
"alexburnsNYT","jessemckinley","retweet",2
"alexburnsNYT","katetaylornyt","mention",1
"alexburnsNYT","katetaylornyt","retweet",1
"alexburnsNYT","NYTnickc","mention",1
"alexburnsNYT","NYTnickc","retweet",1
"amy_harmon","amyvirshup","mention",1
"amy_harmon","patrickhealynyt","mention",2
"amy_harmon","patrickhealynyt","retweet",2
"amy_harmon","sergenyt","mention",1
"amy_harmon","UpshotNYT","mention",1
"amychozick","gilbertcruz","mention",1
"amychozick","gilbertcruz","retweet",1
"amychozick","jswatz","mention",1
"amychozick","jswatz","reply",1
"amychozick","katierosman","mention",1
"amychozick","migold","mention",3
"amychozick","migold","reply",2
"amychozick","NYTimesPR","mention",1
"amychozick","NYTimesPR","retweet",1
"amychozick","PamelaPaulNYT","mention",1
"amychozick","PamelaPaulNYT","retweet",1
"amyvirshup","dansaltzstein","mention",1
"amyvirshup","jdavidgoodman","mention",1
"amyvirshup","jdavidgoodman","retweet",1
"amyvirshup","katierosman","mention",1
"amyvirshup","monicadrake","mention",1
"andyrNYT","tomfeyer","mention",1
"andyrNYT","tomfeyer","retweet",1
"andyrNYT","vikasbajaj","mention",1
"AnnaDubenko","amychozick","mention",1
"AnnaDubenko","AsteadWesley","mention",1
"AnnaDubenko","AsteadWesley","retweet",1
"AnnaDubenko","Azi","mention",1
"AnnaDubenko","Azi","retweet",1
"AnnaDubenko","dansaltzstein","mention",2
"AnnaDubenko","dansaltzstein","reply",1
"AnnaDubenko","dansaltzstein","retweet",1
"AnnaDubenko","jenvalentino","mention",2
"AnnaDubenko","jenvalentino","retweet",2
"AnnaDubenko","liamstack","mention",1
"AnnaDubenko","liamstack","retweet",1
"AnnaDubenko","michaelroston","mention",4
"AnnaDubenko","michaelroston","reply",4
"AnnaDubenko","migold","mention",7
"AnnaDubenko","migold","reply",2
"AnnaDubenko","migold","retweet",2
"AnnaDubenko","NirajC","mention",2
"AnnaDubenko","NYTimesPR","mention",1
"AnnaDubenko","NYTimesPR","retweet",1
"AnnaDubenko","patrickhealynyt","mention",1
"AnnaDubenko","patrickhealynyt","retweet",1
"AnnaDubenko","TimHerrera","mention",4
"AnnaDubenko","TimHerrera","reply",4
"AsteadWesley","katetaylornyt","mention",3
"astrzemien","AnnaDubenko","mention",7
"astrzemien","AnnaDubenko","reply",4
"astrzemien","AnnaDubenko","retweet",2
"astrzemien","caraNYT","retweet",1
"astrzemien","gilbertcruz","mention",3
"astrzemien","gilbertcruz","reply",1
"astrzemien","gilbertcruz","retweet",2
"astrzemien","jessicabennett","mention",1
"astrzemien","katierosman","mention",2
"astrzemien","katierosman","retweet",2
"astrzemien","nytimesbooks","mention",1
"astrzemien","nytimesbooks","retweet",1
"Azi","dodaistewart","mention",1
"Azi","dodaistewart","reply",1
"BenWeiserNYT","gilbertcruz","mention",1
"BenWeiserNYT","gilbertcruz","retweet",1
